time,dt,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,bg_x,bg_y,bg_z,p00,p11,p22,p33,p44,p55,z_x,z_y,z_z,nis,S00,S11,S22,upd
1786181234.265499115,0.006008,0.999983965,-0.001428081,0.005170398,0.001815713,-0.162577,0.592782,0.207227,0.000000e+00,0.000000e+00,0.000000e+00,1.015609e-06,1.015609e-06,1.015608e-06,1.209891e-08,1.209891e-08,1.209891e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.269705057,0.004206,0.999983888,-0.001419468,0.005177768,0.001843989,-0.161571,0.593629,0.210472,0.000000e+00,0.000000e+00,0.000000e+00,1.015810e-06,1.015810e-06,1.015809e-06,1.214097e-08,1.214097e-08,1.214097e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.275507689,0.005803,0.999983777,-0.001432354,0.005184785,0.001873860,-0.163029,0.594441,0.213886,0.000000e+00,0.000000e+00,0.000000e+00,1.016182e-06,1.016182e-06,1.016182e-06,1.219900e-08,1.219900e-08,1.219900e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.279594898,0.004087,0.999983741,-0.001417366,0.005181094,0.001914380,-0.161288,0.594022,0.218539,0.000000e+00,0.000000e+00,0.000000e+00,1.016373e-06,1.016373e-06,1.016373e-06,1.223987e-08,1.223987e-08,1.223987e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.285500765,0.005906,0.999983654,-0.001405244,0.005185156,0.001957239,-0.159872,0.594491,0.223457,0.000000e+00,0.000000e+00,0.000000e+00,1.016760e-06,1.016760e-06,1.016760e-06,1.229893e-08,1.229893e-08,1.229893e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.289761305,0.004261,0.999983524,-0.001394190,0.005197184,0.001999480,-0.158578,0.595874,0.228302,0.000000e+00,0.000000e+00,0.000000e+00,1.016968e-06,1.016968e-06,1.016968e-06,1.234154e-08,1.234154e-08,1.234154e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.295483828,0.005723,0.999983326,-0.001388470,0.005213325,0.002059310,-0.157883,0.597732,0.235160,0.000000e+00,0.000000e+00,0.000000e+00,1.017334e-06,1.017334e-06,1.017333e-06,1.239876e-08,1.239876e-08,1.239876e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.299724817,0.004241,0.999983195,-0.001388807,0.005225262,0.002092380,-0.157899,0.599105,0.238947,0.000000e+00,0.000000e+00,0.000000e+00,1.017541e-06,1.017541e-06,1.017540e-06,1.244117e-08,1.244117e-08,1.244117e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.305497408,0.005773,0.999983059,-0.001380030,0.005235380,0.002137354,-0.156864,0.600269,0.244105,0.000000e+00,0.000000e+00,0.000000e+00,1.017914e-06,1.017914e-06,1.017914e-06,1.249890e-08,1.249890e-08,1.249890e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.309963465,0.004466,0.999983003,-0.001368449,0.005233707,0.002174515,-0.155515,0.600080,0.248370,0.000000e+00,0.000000e+00,0.000000e+00,1.018144e-06,1.018144e-06,1.018143e-06,1.254356e-08,1.254356e-08,1.254356e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
